CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
8550816,6499,876801,531246,101761,429485,,8310,299959,77178,8350,20880,2610000,2528000,,1379950,,,,768372,1009990,184812,641552,192600,448952,1409924,1282811,127113,0,768372,0,768372,6
10679295,6499,1801685,56982670,7333295,49625495,23880,11972,54225849,104656,33594,58009,2175192,1823000,1671575,0,0,349804,0,179161,4374219,4733355,7936369,4890242,3046127,8084789,7626380,458409,0,148420,0,179161,36
9814029,6499,186237,90584040,2534229,85585370,2461200,,84824200,,,,15559320,14122654,,7105824,,1436666,,1171817,5946077,1063160,4465933,2322648,2143285,5637750,4361953,1275797,0,1171817,0,1171817,15
22264941,6630,558120,16153534,1591429,282914,14279191,87922,1092621,133938,11168,1347934,5795323,5795323,,,,,981372,,14213915,8463902,9272075,8473344,798731,8118473,8104650,13823,1153602,0,981372,0,14
9356240,6499,1082776,9417298,145038,9272260,,2116,8410973,292784,,,2320364,1811200,,1531974,,,21404,0,1798433,466785,2049873,470449,1579424,2028469,1005931,1022538,21404,0,21404,0,8
7627369,6630,10303618,1153335,712683,440652,0,124441,350662,66196,1872,224154,5133804,5200000,105138,0,0,0,4237235,0,10938510,6995472,7365483,6995651,369832,2389556,2381475,8081,4975927,0,4237235,0,11
45084419,6499,16142214,10913780,6755914,690148,3467718,7266,87862,26266259,,,,,,,,,254225,0,709139,1722655,1752423,1722661,29762,1498198,1479196,19002,254225,0,254225,0,6
44221810,6492,419127,471718,165459,306259,,,241873,,,,349390,349390,,326346,,,,330668,648972,,294200,294018,182,686409,684428,1981,0,392209,0,330668,4
42037331,6630,500632,173576,10603,162973,,54916,945562,147630,2147,10628,2510440,2510440,,2318228,,,,569055,-376843,1720783,1731149,1723573,7576,2381445,2323130,58315,0,650296,0,569055,2
7678850,6499,5024621,3808609,62272,659022,3087315,1716,871874,,,,4603677,400000,,2340163,,,327910,,7963072,263275,2500512,263275,2237237,2172602,1583715,588887,327910,0,327910,0,6
8694021,6612,24475003,455732218,42978804,409976232,2777182,327368,436385260,1503490,2972,1878602,1646530,470000,16114029,,,1171860,16485264,,40764265,20485204,51618511,20555259,31063252,32143484,22651860,9491624,19475027,0,16485264,0,63
17772595,6499,1389158,584400,275944,308456,,8462,97254,81687,,,966295,913724,49167,0,,,604872,,1803079,1963750,1983419,1963763,19656,1279999,1273218,6781,703420,0,604872,0,9
9415761,6499,690927,49981451,22583258,7723631,19674562,23547,4704436,401671,0,3732599,2348960,1200000,390529,0,0,1148960,33260837,0,41857219,50343194,52386292,50346181,2040111,13088532,12967605,120927,39297760,0,33260837,0,28
24467322,6630,908968,1726877,852448,874429,,60965,579573,439744,,,910000,910000,,,,,585192,,1677192,5271013,5310891,5271013,39878,4536990,4454133,82857,773901,0,585192,0,11
8099938,6499,3625488,57402374,1980937,47001857,8419580,53718,46603576,,,,9195821,9195821,111763,,,,3993115,0,14478004,3797421,11062927,3844848,7218079,7069812,5242938,1826874,3993115,0,3993115,0,33
46046014,6612,3908062,9043508,344282,8683452,15744,71209,1884515,52077,,114318,20840000,20840000,,2251631,,,,7616502,10971867,56691,557609,56702,500907,8174111,8063860,110251,0,7616502,0,7616502,15
8450590,6499,122194810,128539519,81068773,582634,46888112,743282,113072008,1369264,,368640,78807885,9348840,51078029,,,759939,5668703,,136667699,23933940,60458121,24447297,36010824,53633440,18835141,34798299,6824681,0,5668703,0,18
39641612,6630,912883,1408685,1098777,309908,,24243,1446851,557100,5950,156833,630000,630000,,710189,,,133266,,179077,8759160,8864127,8843565,20562,8603580,8529087,74493,260547,0,133266,0,8
45094331,6630,1078484,152922,134477,18445,,42284,889430,3278781,579,21590,45000,45000,,1416111,,,,1545579,-2916690,3000000,3008958,3000017,8941,4797835,4640240,157595,0,1788877,0,1545579,4
43961828,6630,3988,91677,91022,655,,,592,1215401,,,10000,10000,,132428,,,,997900,-1120328,,5343,3061,2282,1003243,947288,55955,0,997900,0,997900,0
9427502,6499,3354258,49840476,1221451,48619025,,8166,43285841,393483,11333,156000,3446373,2600000,2940258,,,,2605612,,9356243,5460340,7816084,5470325,2345759,4747283,4018603,728680,3068801,0,2605612,0,17
18331767,6430,5589977,2070573,205356,1701766,163451,8081,283641,,30750,,500000,500000,5220488,,,,1305704,,7354240,1728565,2382835,1728566,654269,871831,883462,-11631,1511004,0,1305704,0,8
9638020,6499,26693989,50822462,4197917,23332006,23292539,322246,29565340,7232939,40827,,25291953,25291953,,,,,8767583,,40999591,32289045,37368905,32579926,4788979,26972655,24214139,2758516,10396250,0,8767583,0,48
1562694,6611,13680885,788587554,62837014,725748115,,711009,680029519,,1840110,,8104868,8000000,65819989,,,104868,43999297,,121109819,17288736,67891013,17573366,50317647,14062939,13088476,974463,53828074,0,43999297,0,17
7448690,6499,7746153,13926656,695958,13230698,,43768,12318485,,,,6668957,400000,1475072,,,,1057830,,9398092,1225083,2416121,1275178,1140943,1183719,1166748,16971,1232402,0,1057831,0,10
18102976,6630,15249932,43389023,3384911,17458672,22545440,97820,5241593,876519,9755,648436,10656000,10656000,25943300,,,,13229972,,51960472,29830754,33684150,29857080,3827070,18126098,17261698,864400,15558052,0,13229972,0,26
17777754,6611,112395859,31874518,8202261,3187165,20240524,931534,6668247,8923306,1833550,0,82291836,80492460,140785,0,1151493,0,21830972,0,127776808,49643315,55020911,50580527,4440384,29878690,27999560,1879130,25142221,0,21830972,0,43
9881370,6499,7801332,1133141,196309,936832,,5877,1028078,1187476,,,7417351,400000,,958851,,433394,133407,,6724796,332678,489161,332678,156483,355754,355734,20,133407,0,133407,0,3
7475775,6499,622589,6072104,36469,4767318,1268317,9572,3256748,84489,,,9571785,4453452,,1755815,,5118333,362835,,3363028,445092,1683750,445092,1238658,1320915,1307123,13792,362835,0,362835,0,7
6738423,6612,57043564,217271010,68557086,108152418,40529391,244523,194604623,24560706,,557628,38373053,50614493,6975871,,,6880234,382119,0,54836142,16071262,79185330,16537858,62647472,78803211,17884560,60918651,382119,0,382119,0,39
30706475,6630,5575749,3893921,422910,608511,2862500,,197736,7190,,102260,2198990,2206180,55410,,,,920376,,9162484,2453308,3151782,2554228,597554,2206004,2013096,192908,945778,0,920376,0,7
8017326,6499,2033174,51749050,720662,47486052,3542336,,45357198,30343,,,5255224,5400000,273317,0,,,1783549,0,8394683,2822562,6100446,2853444,3247002,4185637,3735862,449775,1914809,0,1783549,0,25
17269861,6499,131768283,24037949,3967815,997003,19073131,190810,13141479,25549424,20625,2057321,8933876,7165700,715652,,,,24902571,0,115228193,41127986,53079099,41139816,11939283,25407393,21005045,4402348,27671706,0,24902571,0,35
6838953,6612,8290691,504731076,20799284,483952961,-21295,335037,456923430,,14773,2898563,20278895,19478221,15883802,,,,15937436,0,53520038,61005887,64491094,61761709,2729385,45899426,44660200,1239226,18591668,0,15937436,0,54
11070990,6630,2041843,4256139,732245,89507,3434387,8829,481855,685212,,76860,465366,430000,1218640,0,,,3283869,0,5062884,5727071,6282270,5729071,553199,2360674,1847535,513139,3921596,0,3283869,0,4
6175133,6630,10632020,1927676,217940,1709736,0,145136,6861840,339448,,94171,8054323,8054323,,1221814,,,,2265134,5409373,3229576,4948500,4909379,39121,7213634,7120334,93300,0,2265134,0,2265134,23
42141358,6201,8555639,6895349,2815032,591861,3488217,150551,1787144,14294842,160732,262177,652136,652136,,10576488,0,,0,7524725,-903356,4950311,5123472,4988328,135144,12648197,11997020,651177,0,7524725,0,7524725,17
13236071,6630,2276639,38824229,3489119,10277510,25048308,114213,12362915,2003601,0,2271593,4000000,4000000,18265756,0,0,0,1420398,0,24576972,30496293,32438302,30496335,1941967,30706750,30553769,152981,1731552,0,1420398,0,21
24566377,6630,4418613,30568847,6456119,198792,23913936,198015,4429999,1177033,,2197049,6000000,6000000,,,1611884,,5461783,0,27381394,44190564,49140847,46897745,2243102,42683372,42274546,408826,6457475,0,5461783,0,26
22227862,6430,458087,1207125,202533,386471,618121,31184,284262,182140,,2004,1773600,1773600,0,798534,,,92904,0,1227990,1876485,1954023,1876485,77538,1848283,1836328,11955,105740,0,92904,0,4
22688130,6630,1959320,37156172,36483153,673019,,4351,2083967,1123399,,,,,31228004,0,,,4685474,0,35913478,7768221,8894707,7768523,1126184,3306388,2406831,899557,5588319,0,4685474,0,3
