CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38
35383472,6511,0,11695443,0,5117665,6577778,,,129129335,97057608,6096022,0,6096022,,83161049,63489858,,30755533,0,,138830976,,0,,124818623,0,0,474453,0,0,607455,28848,57566269,57470904,95365,0,90787,0,4
23545104,6511,1816846,187490802,0,15104052,95929126,0,76457624,1235719,104140506,7694722,1842850,5851872,0,78979234,123989075,65142471,0,5835836,0,144120202,76490410,18720,0,32627843,4111579,0,0,20140534,0,0,0,354074902,331426516,22648386,0,19611837,0,186
9438013,6512,1581030,65226969,6143013,10206346,48877610,,,30509375,48230255,5132372,328158,4804214,,17359230,43146435,30480000,,1437144,11000000,79807625,,997560,,22799613,10287998,6082408,0,0,0,2387348,,182916146,177135151,5780995,0,4410345,0,106
8990884,6512,893538,1998041,1997446,0,595,,,17537053,13605304,53423872,92699,53331173,,0,-734480206,24300000,,15996364,,166705451,,138992,,655093571,0,0,0,0,0,14308078,,19591838,11207727,8384111,0,8384111,0,15
38330014,6512,0,58210455,0,0,58210455,,,12749310,6434612,1741189,147556,1593633,,177188,32566439,,58732353,0,,35992879,,51501,,10701935,0,0,11895518,0,0,1027012,,25134888,35750685,0,10615797,0,10615797,12
9827029,6512,1792090,65896264,17732667,43910826,4252771,,,22422530,32608528,2409141,652330,1756811,,6524535,32679274,52440650,,12132880,,68191304,,165828,,6654476,23962206,0,1180464,0,1621322,1534759,326385,81157675,83417280,0,2259605,0,2259605,93
7804274,6512,0,18486395,17017759,81951,1386685,,,0,296075,541885,140518,401367,,135323,18217573,10000000,,394984,,614946,,0,,437778,189381,0,268762,0,0,152907,47549,1932194,2149799,0,217605,0,217605,11
7854205,6511,2301617,325813,304308,21505,0,,,759,6392917,107662,59797,47865,,3007,8944288,10000000,,3690,,97825,,0,,89662,0,1,0,0,0,,,1,,1,0,1,0,
21112430,6512,2584033,30914260,0,3178929,27735331,,,3756195,12960797,1113584,628746,484838,,3474503,28012582,32141023,,864480,,22884551,,217482,,2444688,1244069,0,2226856,0,0,1676798,237362,55947384,56726499,0,779115,0,779115,35
12408250,6512,0,55845,0,50594,5251,,,71794328,8349159,9735647,0,9735647,,15000,-42256806,17500000,,634841,2487050,93110578,,32796,,36576361,0,0,1942071,0,0,6546431,,20372532,22204282,0,1831750,0,1831750,
44552384,6512,0,202831255,0,112681255,90150000,,,474969433,790749838,166560413,10031,166550382,,78588147,35219572,,,0,,1117408159,,0,393165109,154443841,13462405,4199940,0,0,0,25663194,,771334171,741966695,29367476,0,21693932,0,6
47433051,6512,6973492,23975262,0,2560987,21414275,,,22603499,3092859,77758272,264409,77493863,,5193768,25556927,50500000,,0,,60900117,,2222202,,47439973,3477933,0,20208172,0,0,2309539,3743,43601140,62275022,0,18673882,0,18673882,22
24484382,6512,932159,49913729,0,0,49913729,,,0,65239882,3035512,18194,3017318,,14933863,9399601,,,0,,101700466,,282808,,22672270,0,4367315,0,0,0,1102206,1,137876019,132026895,5849124,0,3814357,0,11
36142529,6512,19227,0,0,0,0,0,0,0,180375154,20905268,2022050,18883218,0,18861746,43506127,0,0,0,0,137085102,0,1481746,0,38088420,0,0,23623789,0,0,0,0,269873555,292599228,0,22725673,0,22725673,20
24870553,6511,8557436,862659130,0,664816,176203337,,685790977,1167451,89908837,7300537,837492,6463045,,26168555,81819655,36116500,,7223300,,175598721,685878552,4397463,374086,47545666,147803,0,0,23596873,0,,,481026946,457253010,23773936,0,19618405,0,143
10509908,6512,15727,467887991,0,3762767,464125224,,,0,12722376,5042387,1233052,3809335,,11678641,324487152,50000000,,10000000,,115606950,,84866,,56692031,476123,62653409,0,0,0,21861896,,115214917,32931461,82283456,0,69045633,0,19
24170290,6512,102,3059020,0,1559020,1500000,,,0,16180290,1518422,6062,1512360,,9333,6006645,,,0,,12934406,,109657,,1655363,61096,636170,0,0,0,63053,,25275939,24558011,717928,0,582339,0,10
14360018,6512,89374349,2865452816,141351963,171495600,2552605253,,,851590448,726612328,13992689,7166176,6826513,,253319615,886200419,506352385,,43572408,110673725,2944453922,,89458666,342940592,375942993,50671928,276552821,0,0,0,144577326,13036771,2747103549,2553602994,193500555,0,142636827,0,1210
21697068,6512,512658,93265881,0,11800635,81465246,,,17833538,18257544,11180769,911874,10268895,,14848238,39788763,26721810,,1300818,,84591549,,0,25081,17987182,13506053,1902732,0,0,0,3875961,-794852,100443072,93782365,6660707,0,5610409,0,84
26191737,6512,3154464,598731667,0,19492404,579239263,,,94789013,22971350,9425113,1203374,8221739,,18071456,261027377,77367276,,155844000,,351704518,,1931383,,116744940,15734845,36616111,0,0,0,27362045,2255731,158559159,124123374,34435785,0,29053035,0,38
1589754,6511,3665222,344230330,12428286,100000,331702044,,,530250,81823642,30003653,414462,29589191,,123678109,92953978,54983971,,4506255,3680834,414601187,,0,,72618818,76389,0,0,21296423,0,,,283147605,261830225,21317380,0,17949821,0,325
24617128,6512,138352,54819961,0,1497587,53322374,,,69988,79378622,5096627,315974,4780653,,16816498,16940404,,,0,,75247114,,528925,,63031269,572336,20924647,0,0,0,,,128351720,108057898,20293822,0,16940404,0,17
35383464,6511,1752811,1467768410,0,0,785993548,,681774862,7919742,129532609,35359262,8270768,27088494,,282136141,54489189,,33746739,0,,1040632690,737486363,6152707,,85012877,695149,0,0,30450965,0,,,898290244,869251775,29038469,0,20742450,0,179
21178923,6512,93634,6987598,446,0,6987152,,,52658207,165341730,11377317,502061,10875256,,6052463,58715582,,,0,,126437562,,5815098,,51542707,0,0,5710769,0,0,3057704,230717,167135711,160689209,6446502,0,5149164,0,299
1813613,6512,6836359,603335374,12254823,53844642,537235909,,,236238978,94079367,59940778,2958282,56982496,,60385934,306024455,323800600,,7947389,89533800,451034266,,24390802,67703613,75307147,46822707,35748518,0,0,0,28838005,7969616,655166829,597532769,57634060,0,44254301,0,518
18066920,6511,7328237,2013362739,0,19704671,1432264458,,561393610,127462913,128823336,5801865,3989980,1811885,,24311650,230592520,135642430,,14647397,15419710,1240333996,557076653,92329638,,74752017,96586206,0,0,41958605,0,,,621884030,582485543,39398487,0,33403047,0,88
8398697,6511,753154,1621560999,50186813,144209096,1426941888,0,223202,241260179,234685235,21390567,4219973,17170594,0,38548362,270668979,175000000,0,9980079,78342075,1599179838,203929,646269,6979479,167852801,34325126,96569511,0,0,5494026,46670632,5251242,1478185958,1386872193,91313765,0,76990051,0,307
21112449,6511,3699791,78435241,0,0,78435241,,,1371993,4095628,1412658,898125,514533,,1947078,28231666,24253937,,2264073,,59417525,,149530,,3080569,83099,0,0,0,3454943,,,26714576,30140312,0,3425736,0,3425736,33
46276285,6622,1135410,0,0,0,0,,,0,2944,3230,1501,1729,,355,1052099,150000,,0,,0,,0,,89840,0,0,0,0,0,,,,341842,0,341842,0,341842,
18892336,6512,382764,82264348,0,17525195,64739153,,,17797567,64388047,9940367,667708,9272659,,25928970,10173917,20027541,,14793,10000000,133290460,,5174945,,41280977,781764,0,11664727,0,0,3979574,15966,144458124,152195921,0,7737797,0,7737797,129
39557849,6512,178801,19051604,0,1875691,17175913,,,281892,6128848,99548,3835,95713,,6429080,-3693437,,3889471,0,,29283373,,222,,6579615,0,920235,0,0,0,471008,,30306786,28908488,1398298,0,1325475,0,9
24617136,6511,138352,12639142,0,0,12639142,,,0,8328771,594346,2518,591828,,3919134,627747,,,0,,10388833,,199194,,14252159,151812,0,0,850130,0,,,18904153,18116785,787368,0,627747,0,6
10392742,6512,0,95534947,10021700,20000,85493247,,,703569586,99548303,9369054,378341,8990713,,622248,-3086680666,116714940,,14696498,4175757,1319147297,,990683,,2671011067,0,0,470030057,0,0,13136266,6387745,490792555,964724767,0,473932212,0,473932212,41
46500594,6512,32722,385003255,0,0,385003255,,,442809811,83161684,30552459,689707,29862752,,76896896,3908065,,,0,,792119886,,0,,175044910,47383966,11577566,0,0,0,5284693,220777,722746378,711319547,11426831,0,4239917,0,27
2886621,6511,41224469,2108866043,15997991,222503133,1803746811,,66618108,332133735,269302816,15509651,4380865,11128786,,130072449,507329531,178999222,,81244738,,1993357012,62256076,60586998,,226508254,47071292,55313708,0,2393167,0,74036176,3865228,1897169643,1776467694,120701949,0,100947199,0,415
10801286,6512,657628,50000130,5496381,2674831,41828918,,,8194322,24011944,1850055,452234,1397821,,4676214,32707030,26354200,,1237179,,35055776,,350938,,13871449,7405100,0,240426,0,0,2386419,256398,42599815,41217243,1382572,0,1382572,0,34
6120740,6512,46638302,6340720539,18027154,833660043,4420632991,0,1068400351,325901668,588204762,47102098,10331807,36770291,0,251665071,1552528511,94393890,0,126738852,0,4390576407,1068400351,52389430,0,475660495,60677246,319122580,0,14351243,0,270487799,10075055,4320497563,3801693995,518803568,0,434958321,0,774
38335135,6512,51475,140653524,0,127707095,12946429,0,0,105382448,37771829,5127063,1046333,4080730,0,10330687,34307721,0,0,0,0,228351435,0,0,0,32842228,3815642,0,5644166,0,0,2347502,0,197932289,196885940,1046349,0,856680,0,44
25252500,6512,1307969,151134595,55143,3599578,147479874,,,32674544,12433828,1590873,745212,845661,,22025187,79441038,38821998,,24129867,,94838613,,3658995,,42124780,1103570,16310657,0,0,0,6414128,2025013,112806909,92149177,20657732,0,17373035,0,40
6291812,6512,5110153,5886025087,63717839,359153522,5455103241,0,8050485,146528717,818823191,40104963,10296691,29808272,0,229504820,999520700,319160464,0,53390304,413803933,5275984888,8015673,63777074,0,330791573,34203090,314594329,0,5284251,0,281588256,107444515,5360732574,5009387154,351345420,0,285518652,0,1490
336290,6512,35539087,2828724744,135504281,142695907,2484484612,0,66039944,449495642,394800344,39161841,3745542,35416299,0,203725939,428572616,292484901,0,10863420,0,2841231573,65996347,77902467,289053424,221700608,26990562,31784128,0,22730266,0,95421856,9694796,1976990451,1931177089,45813362,0,25633235,0,734
